,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CLCN3,480.2857994,-1.047312577,0.399953721,-2.618584405,0.008829545,0.141876196
ZNF654,92.50692763,-0.61017304,0.654499322,-0.932274518,0.351194673,0.776031376
SECISBP2L,715.1634294,-0.381361985,0.453464596,-0.840996162,0.400350084,0.809023049
EFCAB14,678.2807848,-0.633982439,0.426541723,-1.486331593,0.137191434,0.561851683
ITPR2,1538.492757,-1.036875781,0.323127636,-3.208873731,0.00133256,0.040053873
ZNF880,80.47741856,-1.086664572,0.849417862,-1.279305064,0.20078965,0.643948338
SCARNA12,1159.09143,3.16285228,0.621836164,5.086311258,3.65E-07,4.62E-05
TMF1,623.2426155,-0.452093153,0.341820864,-1.32260257,0.185967579,0.627346729
TNK2,902.7362176,1.284262955,0.391345422,3.281660865,0.001031976,0.033534676
ITGA6,745.4744558,-1.16215275,0.392108099,-2.963858064,0.003038084,0.069589774
ERBB4,601.1753319,-1.375545759,0.537453225,-2.559377626,0.010485977,0.156049034
PITPNM3,1828.028691,2.62371498,0.652784097,4.019269147,5.84E-05,0.003804843
ATP5A1,1104.239843,-1.165547245,0.47432527,-2.457274192,0.013999579,0.182725503
RAD50,729.4867992,-0.449475109,0.538280088,-0.835020872,0.403705957,0.811175374
PICALM,653.3748559,-0.60057275,0.418606275,-1.434696004,0.151373743,0.581129215
HNRNPDL,985.8997289,-0.440362437,0.388636212,-1.133096772,0.257173617,0.701104665
TCEA2,795.7710751,2.406114573,0.527955606,4.557418362,5.18E-06,0.000477885
GLUD1,463.2626829,-1.450572373,0.601293231,-2.412420928,0.015846974,0.196081485
MED13,727.5792793,-0.430212058,0.318840982,-1.349299751,0.177240705,0.617515183
REST,490.6485166,-0.443651736,0.392920638,-1.129112836,0.258850237,0.701855284
TUFM,478.8649483,-0.996085364,0.499456467,-1.994338707,0.046115052,0.347720521
SNX13,289.7513154,-0.585532531,0.554925208,-1.055155763,0.291354092,0.730676947
ALDH1A1,523.0513922,-1.414629821,0.531185538,-2.663155754,0.007741157,0.13167302
ADAMTS9,977.109292,-1.220645515,0.40420102,-3.019897166,0.002528605,0.061119824
C9orf114,738.1486083,1.405603239,0.431088185,3.260593281,0.001111794,0.035405607
ARIH1,1268.773723,1.214579158,0.313079945,3.879453726,0.000104691,0.006057161
LINC00999,4073.363069,5.805485231,0.738266931,7.8636669,3.73E-15,2.30E-12
WDR1,785.7203574,-0.972289502,0.411649279,-2.361936606,0.018179751,0.211947065
P3H2,403.1231443,-1.171257105,0.541985775,-2.161047687,0.030691656,0.281032389
RTCA,205.0287185,-0.777033519,0.571346658,-1.360003614,0.17382878,0.614690142
SYNE1,8945.483918,-1.746347065,0.378644828,-4.612098032,3.99E-06,0.000383298
DYNC1I2,617.4443215,-0.533265694,0.383519463,-1.390452756,0.164391436,0.599630971
SGCE,69.46978865,-0.891417556,0.747404529,-1.192684177,0.232993085,0.677373715
ZBTB47,2208.224788,2.441616746,0.492011513,4.962519537,6.96E-07,8.18E-05
FRYL,749.6839762,-0.528491309,0.343884536,-1.536827783,0.124335488,0.537795648
HIPK2,4011.492513,-0.82761107,0.320625702,-2.581237449,0.009844684,0.151058916
MYH9,13503.8414,-0.860332905,0.279082805,-3.082715561,0.002051211,0.052881615
SNORA71D,4445.398988,6.626616415,0.691030116,9.589475573,8.85E-22,2.50E-18
AKAP11,625.7573536,-0.648425616,0.402112748,-1.612546779,0.106843009,0.505584938
N4BP2L2,868.4357045,-0.066015922,0.477337526,-0.138300298,0.89000309,0.978994568
PIK3C2A,798.274508,-0.484835532,0.356507248,-1.359959819,0.173842639,0.614690142
SNORA9,1524.871777,6.404930521,0.686434713,9.330720607,1.05E-20,2.08E-17
ZNF587,890.5008846,2.317265241,0.409499314,5.658776857,1.52E-08,2.81E-06
FBXL5,474.451663,-1.142383123,0.603934114,-1.891569123,0.058548413,0.39220287
SRSF6,715.0048327,-0.667173035,0.567075917,-1.176514492,0.239389345,0.684033042
C19orf68,511.3047427,2.37838614,0.412490578,5.765916285,8.12E-09,1.59E-06
CLCN5,650.1252369,-1.613447774,0.711138714,-2.268822865,0.0232791,0.243235802
STK33,90.32667069,-1.337193679,0.761183677,-1.756729314,0.078963959,0.447443163
TET3,862.1027399,0.557856401,0.39187366,1.423561874,0.154573339,0.584844646
PRDM4,259.6081834,-0.913645989,0.43157002,-2.117028397,0.034257438,0.295466874
RN7SL2,641513.9398,0.772484108,0.406268019,1.901415009,0.057247675,0.388097181
