"","substanceBXH","moduleColor","GS.weight","p.GS.weight","MM.green","p.MM.green","MM.purple","p.MM.purple","MM.magenta","p.MM.magenta","MM.black","p.MM.black","MM.red","p.MM.red","MM.blue","p.MM.blue","MM.grey","p.MM.grey","MM.yellow","p.MM.yellow","MM.brown","p.MM.brown","MM.pink","p.MM.pink","MM.turquoise","p.MM.turquoise"
"ATF6","ATF6","black",-0.326381359369728,0.0520463736144174,-0.348291142457091,0.0373720088457537,-0.0660980428241931,0.701711391999308,-0.389826492292887,0.0187610569805805,0.736543527729668,3.03983938266762e-07,0.176509530004529,0.303106327341329,0.439509387848801,0.00731814854416212,-0.211314942450891,0.21602325565028,-0.204300750762821,0.2320088554788,-0.171965784389085,0.31592010377435,0.142908335520609,0.405708598076519,0.213648915620192,0.210876225359913
"WDR35","WDR35","black",-0.316298862506242,0.0601912522107891,-0.408054706167379,0.0134915918520959,-0.116896883830057,0.49716201943178,-0.487611870682722,0.00255699419773936,0.568969641822278,0.000293472983283981,0.381283274286934,0.0217673254052787,0.386016961332467,0.0200557053519767,-0.328896921836612,0.0501581562509284,-0.331657667200432,0.0481494267600186,-0.211183259281435,0.216316203472154,0.290236721494129,0.0859527356482646,0.131965684157044,0.442953784252604
"LGALS8","LGALS8","black",-0.313053456965033,0.0630174672211216,-0.47819148107109,0.00317939104885075,-0.0880908285693885,0.609430357357529,-0.546380063014367,0.000565896278561841,0.687161592480056,3.67651549608182e-06,0.266334014156884,0.116387547789777,0.301205424099598,0.0742339004014698,-0.349923001279272,0.0364299667136645,-0.0161456195623095,0.925537460649523,-0.228461224262841,0.180182207493298,0.0581166018542518,0.736359536890057,0.217299247869588,0.202997231970875
"NTRK2","NTRK2","black",-0.311728037027455,0.0642013824827828,-0.414360948673321,0.0119875953018513,-0.244048563174758,0.151456070886135,-0.356627906448479,0.0327599710317452,0.463418541534104,0.00442078615710481,0.0927590888989172,0.590525159736341,0.207734762979999,0.224085252654273,-0.202316455907927,0.236672956285428,-0.10856752614696,0.528509250762767,0.0131562328748883,0.939295986155045,0.113265171016816,0.510712429583541,-0.145363385604869,0.397605249088507
"PAK1","PAK1","black",-0.309062640500335,0.0666352611320695,-0.257034230249022,0.130194881395819,-0.0362546327657438,0.833730334232464,-0.60633917511068,8.86733872209578e-05,0.651654240299001,1.66991967675383e-05,0.323196960888778,0.0545175824799484,0.549264934276447,0.000521721290827146,-0.383898069887942,0.020807455114614,-0.280682946795144,0.0972798617930415,-0.442952770586852,0.00682043550635915,0.244576516844946,0.150545256877697,0.498235336610604,0.00198515633151366
"DDX58","DDX58","black",-0.306827402217162,0.0687317796205791,-0.360395261339671,0.0308342645348415,0.0567887127092064,0.742176190965368,-0.434428208776508,0.00810926477836943,0.749299321908445,1.45781227634519e-07,0.497895536400458,0.00200154551271194,0.542496013871042,0.000630610978076715,0.0580111598361214,0.736820890343855,-0.150399756023423,0.381276533608669,-0.338950063091114,0.043152463458849,0.179671238569358,0.294387639429974,0.188642900915869,0.27053063092968
"PRMT3","PRMT3","black",-0.291874664918568,0.0841174566589763,-0.311729934095988,0.0641996755076753,0.193646592430234,0.25779135222482,-0.408761499618071,0.0133154783701502,0.596101583035155,0.000124909930168903,0.425743054195055,0.00963093933043094,0.496801215350251,0.00205513488749812,0.0708889125198903,0.681189663309047,-0.285212721990506,0.0917750802674442,-0.351663886149425,0.0354463801884576,0.138372178747302,0.42092630102976,0.245630966085248,0.14873809139984
"DRG2","DRG2","black",-0.291503069652301,0.0845311406515766,-0.370473786879406,0.0261343856850194,0.0833222051962994,0.629002503197854,-0.202447022247737,0.236364127884101,0.41841062293761,0.0110986270455273,-0.164005898302104,0.339173229842363,0.176362546414803,0.303515593610744,0.112988673998878,0.511751573249061,-0.149719298362183,0.383459408999595,-0.190523755262783,0.265694547032647,-0.136607514953867,0.426931615546097,0.0314319588457742,0.855597783079086
"TNKS","TNKS","black",-0.283914702426568,0.0933274509799145,-0.459459895544954,0.00481739560194287,0.0568907164932549,0.741728872320307,-0.564400612143532,0.000336437559107456,0.648408873110379,1.89916997000234e-05,0.591481945304621,0.000145246238181722,0.563332226425191,0.000347260223604087,0.0685919099417737,0.691001863992288,-0.362076225010059,0.0300054931140102,-0.355590881498797,0.0333069709387632,0.133229498018485,0.438559284577053,0.405026430504934,0.0142685654424741
"DERL1","DERL1","black",-0.278371892845539,0.10018371570451,-0.316392914171594,0.0601108706633348,-0.0688239693181099,0.690008279709841,-0.581667276375793,0.000198621068879747,0.804201876639446,3.45832053784495e-09,0.362352381248829,0.0298711037001276,0.623272751992026,4.89892567354642e-05,-0.0455352566536148,0.792006363143719,-0.31522365378352,0.0611162426129577,-0.559032262555223,0.000394029002798042,0.228167182232972,0.180758835556673,0.504395359430564,0.00170775922746211
"TRAP1","TRAP1","black",-0.274501341523965,0.105194281245029,-0.263263518282913,0.120818990446433,0.0510463862868799,0.767488222657,-0.489538513327085,0.00244371435820549,0.711414146661705,1.15211576173379e-06,0.141916205636002,0.409009842119697,0.385688834773062,0.0201706161902609,0.115626693490622,0.501880367308199,-0.299088633862871,0.0763924326236981,-0.561520500301182,0.000366324762198747,0.197086856834279,0.249266904879937,0.405832202710993,0.014058235488491
"NCOA3","NCOA3","black",-0.26918124720704,0.112388342302634,-0.427343675894542,0.00933353000193399,-0.093083329602088,0.589221704900585,-0.486984042196417,0.00259488542110717,0.852522138559549,4.15152248565035e-11,0.258902378707546,0.127328229408484,0.477254422264363,0.00324796545044782,-0.114865588241439,0.50471843185451,-0.31553968617054,0.0608432044755672,-0.279436772618519,0.0988375968034651,0.098802947421963,0.566440318156182,0.303313560005125,0.0721317951672168
"SIRT5","SIRT5","black",-0.266459445791199,0.116209149636124,-0.409406861830661,0.0131563701855153,0.0701929792210865,0.684157163377851,-0.475871738906729,0.00335149927908004,0.594321357107934,0.00013242181774231,0.391978752045145,0.0180610045308387,0.272278702002571,0.108156143593061,-0.155582633387986,0.364890428041569,0.0540875071104583,0.754051679604257,-0.191534651646582,0.263118952854061,-0.0857482350587012,0.619012976716449,0.113549583654393,0.509644637187573
"ATMIN","ATMIN","black",-0.252718463584012,0.136999842249972,-0.245441836985223,0.149061060116963,-0.0155051083078835,0.928483731705159,-0.500125159442967,0.0018961343603266,0.679806755902394,5.1160326769424e-06,0.357031526675745,0.0325490688855672,0.602395220712089,0.00010132617778078,-0.164654174713049,0.337241167587737,0.103656234649467,0.547432190427207,-0.346173817925977,0.0386237097301438,-0.0392339310684239,0.820281355913425,0.343740372185378,0.0401040822690969
"BIRC6","BIRC6","black",-0.25181610481791,0.138455170916936,-0.265485136142535,0.117600289756726,-0.0688994056715222,0.689685401578265,-0.662041322481255,1.09490567212516e-05,0.852846913455779,4.00932752071546e-11,0.778179490156355,2.32270096120669e-08,0.693646277574381,2.72552961121618e-06,-0.0766077990205818,0.656985712737709,-0.198031674100865,0.246959125496548,-0.557134580433269,0.000416397880186485,0.380838733717556,0.0219341153738897,0.605132439230888,9.23844947748412e-05
"PDCD2","PDCD2","black",-0.243873938471194,0.1517582099321,-0.234251382301752,0.169092189016647,-0.0781421374343116,0.650548757338701,-0.532204307219215,0.000834944979665367,0.633342675638849,3.38525213297038e-05,0.536308206410046,0.000747335294319671,0.451364957962558,0.0057249838551986,-0.125464153295595,0.465936568861593,-0.148018568340025,0.388947133808664,-0.278919168081345,0.0994901701496356,0.185570562828403,0.278553484402943,0.286043348016116,0.0907921364670335
"RBM5","RBM5","black",-0.241293743006101,0.156273723171872,-0.126428448209823,0.462488396793103,-0.0439474124588462,0.799108178343641,-0.462927928588653,0.00446835312405717,0.716104052501954,9.0814560543009e-07,0.593585800184027,0.000135642382669342,0.68813741527957,3.51631052028319e-06,0.162560452033111,0.343505460280734,-0.0841055423985479,0.625769791206934,-0.645280859916027,2.14682498094931e-05,0.340317885070856,0.0422635616693235,0.465183424944077,0.004253276994174
"TNFRSF11B","TNFRSF11B","black",-0.239704332039384,0.15910329233335,-0.304138203338518,0.0713222924556348,-0.140100013133829,0.415092487144733,-0.51568764669403,0.00128645917440044,0.802965071616239,3.80984087866497e-09,0.554691140911525,0.000446863206247988,0.55381875062592,0.000458211901743506,-0.064585552195001,0.708234383022791,-0.313917684499877,0.0622548344893431,-0.359419052579688,0.0313241191751046,0.45132764219676,0.005729486718904,0.404729162772548,0.014346827262827
"NBN","NBN","black",-0.238098678472038,0.161999182434935,-0.332707388031942,0.0474027947961457,-0.0915500312069527,0.595396734213304,-0.637559235078214,2.88857495669508e-05,0.875731654314651,2.72314503021996e-12,0.474222155155632,0.0034787609747958,0.491912362407687,0.00231018686779063,0.0170644889379729,0.921312489834906,-0.0743911557760716,0.6663281008522,-0.433883086861304,0.00819832297846215,0.144309375834284,0.401072723454516,0.461785703644519,0.00458081494819001
"HES6","HES6","black",0.236738745105839,0.164481460008163,0.294799040772587,0.0809162386786317,0.118251970528866,0.492153310986536,0.278306247109121,0.100267153201188,-0.344136349850721,0.0398601093841815,0.0348882681703691,0.839914117070857,-0.075885507769899,0.660024387106339,0.277939816132613,0.10073386898875,-0.0811442374018857,0.638026252087906,0.0704716814093555,0.682968198762274,0.0606330296378613,0.725376365327861,0.0581260959634129,0.736318000596523
"STARD13","STARD13","black",-0.236534095853457,0.164857360001,-0.40057452834873,0.0154790070283884,-0.215066963828259,0.207790755864364,-0.220883849055727,0.195461688392029,0.510962149898429,0.00145008274425644,0.37414523152392,0.0245765549851024,0.395772176178136,0.0168803144477233,-0.252385538421502,0.137535467829202,-0.233792054968263,0.169953653086837,0.0398879750057292,0.817335512938027,0.0886179857294717,0.60728268188934,0.0671623037721804,0.697134020618174
"PRR7","PRR7","black",0.229480886080758,0.178192722819175,0.248905233996806,0.1432273587987,-0.0155339920993641,0.928350849448403,0.2489360125299,0.143176277098313,-0.389004534463533,0.0190343224380337,-0.304037594743571,0.0714206713163588,-0.175123050614694,0.30698083025853,-0.172654394716543,0.313956640556044,-0.120141727835653,0.485211753980784,0.177124644321645,0.301397384768657,-0.0328782285512465,0.849028069817859,-0.00833088620563653,0.961539306971087
"PGF","PGF","black",0.215417358714064,0.207033190196545,0.313308980816671,0.0627912178489093,0.225570445013449,0.185908018617404,0.476385900858494,0.00331266919041095,-0.719181997070208,7.74855081522073e-07,-0.496338204709522,0.00207818429445194,-0.611281180223626,7.48363879811239e-05,0.197989092675378,0.247062824856857,0.119002866296124,0.48938900546299,0.288311342366932,0.0881494099938471,-0.111622384857935,0.516901847468353,-0.29914736933015,0.0763318869421462
"TGFB3","TGFB3","black",0.209126689110323,0.220926800895492,0.193852118560105,0.257276733853815,-0.0512321584632515,0.766665466693484,0.253626393506544,0.135546933658418,-0.573259638441831,0.000257668042323708,-0.141149901915401,0.411570081346948,-0.232743917592874,0.171931179140881,0.0913951400547292,0.596022089944893,0.28715812896263,0.0894856626071934,0.154160487263457,0.369344251468043,-0.282041057497614,0.0956036228450232,-0.286429762178071,0.0903376277331574
"MOK","MOK","black",-0.204959832922645,0.230473561660688,-0.295319448133148,0.0803566015957157,-0.0770337819180132,0.655196137867271,-0.319939879389366,0.0571409759984438,0.548480583490322,0.000533417355618625,0.232913840851205,0.171609472369747,0.350468861805304,0.0361191985693932,-0.165918295291692,0.333493180746945,-0.282376127456478,0.0951934817817085,-0.268600788334541,0.113195134067152,0.250582856669789,0.140462511881056,0.0884584235618982,0.607932408846499
"TP53BP2","TP53BP2","black",-0.2044722235962,0.231608753807456,-0.155220939085271,0.366020118284173,-0.00521503082444925,0.975918666768856,-0.407673775192217,0.0135873215095206,0.720886004251972,7.09037108312038e-07,0.38963481826316,0.0188244855766381,0.349344827765618,0.0367615002275387,-0.0153141948615302,0.929362092445437,-0.0625166679429321,0.717190087546961,-0.26759828537246,0.114598784574544,0.141902607393338,0.409055195127223,0.442939577005071,0.0068222856524925
"USP28","USP28","black",-0.192423423578758,0.260868152526243,-0.361025026921277,0.0305215979637014,-0.083108802785,0.629884363883172,-0.234333508121677,0.168938493073209,0.471960597003527,0.00366004665034099,0.0130847489147923,0.939625215800354,0.261415427455972,0.12354630889868,0.10660721692066,0.536023905037758,-0.0118855897415689,0.945149543051112,-0.0407467983415795,0.813471079735793,-0.308426404248278,0.0672268241461422,-0.0341072488533191,0.843453059669292
"PRDM5","PRDM5","black",-0.188153214233579,0.271799115307209,-0.337926914226932,0.0438271868983506,-0.0514455187100555,0.765720837451136,-0.159792724705608,0.351894457613855,0.50912241218193,0.0015185733853607,-0.043121196015716,0.80280985224609,0.0843447631535225,0.624783928371097,0.172993167596385,0.312993503425985,-0.04563127332049,0.791577439518274,-0.00751107276914035,0.965321688138526,-0.0375161572662908,0.828029727801835,-0.0873254376498045,0.612554339522022
