Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
AKI23	0	0.00950723430393059	0	0.00602029244362834	0.00304197555820156	0.0785483481964619	0	0.0130992070141632	0	0	0	0.0444955455093719	0.446990510984762	0	0.0225872042545666	0	0	0.12437798176455	0.210101231837888	0	0.0412304681324761	0	0.53	0.0304490132503296	1.10535056019614
AKI24	0.15009947707628	0	0.0221978873531068	0.00490694129896535	0.134622667111417	0.321794659595739	0	0.0256731559728866	0	0	0.173038416551497	0	0.106312861337402	0.0585237748317097	0.00283015887099717	0	0	0	0	0	0	0	0.76	-0.00121749627508332	1.12999867270835
AKI25	0.0724688171900699	0	0.0177953447057125	0.0348650195775191	0	0.464649730916262	0	0	0	0	0.0141798134248624	0	0.357501338279738	0.0271397670886765	0.00106849951477538	0	0	0	0.0103316693023834	0	0	0	0.113	0.131442607510745	1.06457520692209
AKI26	0.157965564291096	0	0.0587509485859859	0.130952451683197	0.115338467233823	0.216411676111119	0.0144806051190425	0	0	0	0.14936822404163	0	0.0187361090627363	0.0301504206652778	0	0.0522101910688569	0	0	0	0	0.0556353421372356	0	0.72	0.00427695944219531	1.12196918625518
AKI27	0	0	0	0	0.295897963748753	0	0	0	0.0444659291993166	0.059697499122645	0.0703993561345579	0	0.196010093360308	0	0	0.123194491896822	0	0	0	0.210334666537598	0	0	0.999	-0.0914840283370811	1.14031870219111
AKI28	0	0.130233379500334	0.173023370036132	0	0.372863834797116	0	0.0299991621808618	0	0.0208099766692699	0.0454088232012545	0.147628437401203	0	0	0.0229501061338742	0	0	0	0	0.0324911940366822	0	0.0245917160432722	0	0.986	-0.05326453031382	1.13902446753879
AKI29	0	0	0.0991820822660461	0	0.322418991067486	0.258270661435938	0.0298249166413588	0	0	0	0.0587018588226247	0	0.0923833103892344	0	0.00421417853367222	0.0956244734345723	0	0	0	0	0.0393795274090675	0	0.418	0.0486265392778855	1.09775376216462
AKI30	0.273256551388549	0	0.0997621700388412	0.0930305189648691	0	0.0810569810058028	0	0.0245716800092637	0	0	0.062375248770613	0	0.0244756536775271	0	0	0	0	0	0	0.238197034150433	0.103274161994102	0	0.961	-0.0365108743355657	1.1140388698491
AKI31	0.213279478649482	0	0.0447722100842957	0	0.165471373675949	0.105527764151393	0	0	0.0745637131773138	0	0.0945038562869595	0	0.114078333765136	0	0.0295405888355251	0.0680335195167822	0	0.0902291618571637	0	0	0	0	0.932	-0.0275097021304895	1.10559676069086
AKI32	0	0	0	0	0	0.118041238105361	0	0.216486589352627	0	0	0	0.0727379325511869	0	0.25036117479145	0	0.0191987925659047	0	0.029181272310102	0.202029952723181	0	0	0.0919630476001881	0.849	-0.0145330307998019	1.11296751090565
AKI33	0.00219783336829765	0	0.0804487131610421	0	0.0317471625441335	0.178984421079843	0	0	0.067933505402985	0	0.0087269527200372	0.0439721934759089	0.299010040365054	0	0	0	0	0.023733969848688	0	0.26324520803401	0	0	0.967	-0.039459971115667	1.11477897482374
AKI34	0	0.0962446386261523	0.0221767669121837	0	0.00559772664664731	0	0	0.350011745371385	0	0	0.22584693904821	0.0402871825900698	0.118051467631041	0.10238829305404	0	0	0	0	0.0189244260091632	0.0150027407141399	0.00546807339696763	0	0.952	-0.0322422646693746	1.1392448982302
AKI35	0	0.0574603433773716	0	0	0	0.255282161561546	0.0411019242302056	0	0.0494171182001809	0	0.26175917752765	0	0.196765695764207	0.0915912826729243	0	0	0	0	0.0466222966659152	0	0	0	0.983	-0.0500918245356975	1.14544440287398
AKI36	0.512081704926771	0	0	0	0	0.0319327102774032	0	0.0797882994956671	0	0	0.0545788673883402	0	0.140599948050473	0	0	0.162266708514124	0	0.0187517613472213	0	0	0	0	0.869	-0.0178270398007308	1.14387169476832
AKI37	0	0.0363049205634148	0.0541160986169273	0.0174975431229098	0.23765239284498	0.218523875803967	0	0	0	0	0.156264255684667	0	0.254903122909982	0.0227810239164331	0	0	0	0.00195676653671946	0	0	0	0	0.365	0.0604263917890406	1.09599155639217
AKI38	0.133353590946203	0	0.105868650402589	0	0.183977888302391	0	0.0834635556263563	0	0.0081339910942571	0	0	0.0385101472078364	0.375809418092374	0.0608514206271762	0	0	0	0.010031337700817	0	0	0	0	0.954	-0.0328432317790493	1.11152256339639
AKI39	0	0.073554746851807	0.00988887674664861	0.0118109847654731	0.332025459043226	0.125000148867896	0	0	0	0	0.23372583355868	0	0.0635287528208096	0.097845223350748	0	0.0179767707851953	0	0	0.0346432032095162	0	0	0	0.956	-0.0337722546110721	1.151370922359
